Name,Null,Height,Longitude,Latitude,Climbed
A'Ghlas-bheinn,0,918,-5.30367,57.255081,0
A'Mhaighdean,0,967,-5.346757,57.719679,0
A'Mharconaich,0,975,-4.290684,56.856993,0
Am Basteir,0,934,-6.202982,57.247931,0
Am Bodach,0,1031.8,-4.983393,56.741727,0
Am Faochagach,0,953,-4.853899,57.771801,0
An Caisteal,0,995,-4.62437,56.338618,0
An Coileachan,0,923.9,-4.949498,57.667625,0
An Gearanach,0,981.4,-4.966203,56.759143,0
An Riabhachan,0,1129,-5.104728,57.362438,0
An Sgarsoch,0,1006,-3.754367,56.931928,0
An Socach,0,1069,-5.158603,57.350229,0
An Socach,0,944,-3.513131,56.902286,0
An Socach,0,921,-5.171293,57.257533,0
An Stuc,0,1117,-4.216258,56.560093,0
An Teallach-Bidein a'Ghlas Thuill,0,1062,-5.251734,57.807108,0
An Teallach-Sgurr Fiona,0,1060,-5.259442,57.800717,0
Aonach air Chrith,0,1019.4,-5.221291,57.12464,0
Aonach Beag,0,1234,-4.954121,56.799998,0
Aonach Beag,0,1115.7,-4.529181,56.833496,0
Aonach Eagach-Meall Dearg,0,952.2,-5.003271,56.68072,0
Aonach Eagach-Sgorr nam Fiannaidh,0,967,-5.037143,56.679387,0
Aonach Meadhoin,0,1001,-5.229122,57.173091,0
Aonach Mor,0,1221,-4.961744,56.812932,0
Beinn a'Bheithir-Sgorr Dhearg,0,1024,-5.17151,56.653921,0
Beinn a'Bheithir-Sgorr Dhonuill,0,1001,-5.197758,56.650508,0
Beinn a'Bhuird (Beinn a'Bhuird North Top),0,1197,-3.499383,57.087581,0
Beinn a'Chaorainn,0,1083,-3.577436,57.093326,0
Beinn a'Chaorainn,0,1052,-4.653627,56.928625,0
Beinn a'Chlachair,0,1087,-4.509683,56.869516,0
Beinn a'Chleibh,0,916.3,-4.835632,56.390231,0
Beinn a'Chochuill,0,980,-5.068536,56.449781,0
Beinn a'Chreachain,0,1081,-4.647589,56.560387,0
Beinn a'Chroin,0,941.4,-4.609644,56.331991,0
Beinn a'Ghlo-Braigh Coire Chruinn-bhalgain,0,1070,-3.729475,56.831156,0
Beinn a'Ghlo-Carn Liath,0,976,-3.744106,56.80777,0
Beinn a'Ghlo-Carn nan Gabhar,0,1121,-3.688022,56.839837,0
Beinn Achaladair,0,1038.5,-4.694541,56.551887,0
Beinn Alligin-Sgurr Mhor,0,986,-5.572781,57.59082,0
Beinn Alligin-Tom na Gruagaich,0,922,-5.581913,57.580528,0
Beinn an Dothaidh,0,1004,-4.71393,56.530104,0
Beinn Bheoil,0,1019,-4.430646,56.813276,0
Beinn Bhreac,0,931,-3.553471,57.055054,0
Beinn Bhrotain,0,1157,-3.723813,57.009868,0
Beinn Bhuidhe,0,948.5,-4.906722,56.326662,0
Beinn Chabhair,0,932.1,-4.641485,56.325775,0
Beinn Dearg,0,1084,-4.929573,57.78634,0
Beinn Dearg,0,1008,-3.88381,56.87721,0
Beinn Dorain,0,1076,-4.722024,56.503053,0
Beinn Dubhchraig,0,978,-4.743209,56.391294,0
Beinn Eibhinn,0,1103.2,-4.542082,56.825254,0
Beinn Eighe-Ruadh-stac Mor,0,1010,-5.429453,57.593726,0
Beinn Eighe-Spidean Coire nan Clach,0,993,-5.403706,57.582098,0
